name;roaster;roast;loc_country;origin;100g_USD;rating;review_date;review;
Karen J Kona Red Bourbon;Hula Daddy Kona Coffee;Medium-Light;Hawai'i;Hawai'I;0,17;94;may-20;Crisply fruit-centered, floral-toned. Mango, cocoa nib, lilac, honey, Meyer lemon in aroma and cup. Sweet-toned structure with lush, elegant acidity;
Asfaw Maru Ethiopia Natural Cold Brew;Collage Coffee;;United States;Ethiopia;1,32;93;July 2020;A ready-to-drink black coffee, tested cold. Rhubarb, Pinot Noir grape, cocoa nib, honeysuckle, sandalwood. Sweet-tart-savory structure with big, juicy acidity;
Ethiopia Nano Challa Cold Brew;Bonfire Coffee Company;;United States;Ethiopia;1,34;94;July 2020;A ready-to-drink black coffee, tested cold. Rich, floral-toned, intricate and complex. Notes of wisteria, Keemun black tea, cocoa nib, Meyer lemon, frankincense. Crisp, tart-leaning structure with sweet undertones and juicy acidity;
Taiwan Natural Alishan Zhuo-Wu Geisha;Kakalove Cafe;Medium-Light;Taiwan;Taiwan;1,36;95;October 2022;Richly fruit-toned, deeply chocolaty. Dried raspberry, dark chocolate, pink peppercorn, amber in aroma and cup. Sweet-tart structure with juicy acidity;
5a Sur;El Gran Café;Medium;Guatemala;Guatemala;1,47;86;October 2020;Sweetly nut- and cocoa-toned. Hazelnut, cocoa powder, magnolia, cedar, golden raisin in aroma and cup. Sweet structure with brisk acidity;
5a Poniente;El Gran Café;Medium-Dark;Guatemala;Guatemala;1,47;86;October 2020;Chocolaty, sweetly smoky. Dark chocolate, scorched mesquite, lily, raisin, hazelnut in aroma and cup. Bittersweet structure with gentle acidity;
5a Poniente;El Gran Cafe;Medium;Guatemala;Guatemala;1,47;88;December 2021;Richly bittersweet. Dark chocolate, hop flowers, fir, almond, raisin in aroma and cup. Bittersweet structure with gentle acidity;
5a Sur;El Gran Cafe;Medium;Guatemala;Guatemala;1,47;89;December 2021;Crisply sweet, nut-toned. Cashew butter, baking chocolate, magnolia, pear, cedar in aroma and cup. Sweetly brisk structure;
5a Sur;El Gran Cafe;Medium;Guatemala;Guatemala;1,47;91;November 2022;Chocolate-toned, richly sweet-savory. Dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. Bittersweet structure with gentle, rounded acidity;
5a Poniente;El Gran Cafe;Medium-Light;Guatemala;Guatemala;1,47;91;November 2022;Sweetly herb- and spice-toned. Lemon verbena, plum, clove, oak, maple syrup in aroma and cup. Sweetly tart structure with delicate acidity;
Colombia;Eight O'Clock Coffee;Medium;United States;Colombia;1,49;88;February 2020;Crisply sweet, cocoa-toned. Cocoa powder, scorched fir, raisin, hazelnut, a sweet-sour yogurt-like hint in aroma and cup. Bittersweet structure with pert acidity;
Ethiopia COE 2nd place Washed Sidamo Rumudamo;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;1,98;94;November 2020;Crisp, delicately sweet-tart, intricately floral. Narcissus, lime zest, apricot, pipe tobacco, agave syrup in aroma and cup. Sweet-toned with lyrical, juicy acidity;
Ka’u Classic Dark;Rusty's Hawaiian;Medium;Hawai'i;Hawai'I;10,05;94;April 2022;Crisply chocolaty, floral-toned. Nectarine, brown sugar, wisteria, baking chocolate, fresh-cut oak in aroma and cup. Complex, bittersweet structure with quiet acidity;
Canet Musician Series Mozart Raisin Honey;Cafe Fugu Roasters;Medium-Light;Taiwan;Costa Rica;10,08;92;July 2022;Gently fruit-forward. Raspberry, honey, almond butter, magnolia, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity;
Sweet Waves Espresso;Kona View Coffee;Medium;Hawai'i;Hawai'I;10,14;93;September 2022;Evaluated as espresso. Richly sweet, crisply chocolaty. Dark chocolate, hazelnut, candy apple, orange zest, fresh-cut cedar in aroma and cup. Satiny-smooth mouthfeel;
Kona Medium Roast;Kona Love Coffee Co.;Medium-Light;Hawai'i;Hawai'I;10,29;92;October 2021;Richly sweet, deep-toned. Baking chocolate, hazelnut, date, magnolia, cedar in aroma and cup. Sweet in structure with brisk acidity;
Kona Medium-Dark Roast;Kona Love Coffee Co.;Medium;Hawai'i;Hawai'I;10,29;90;October 2021;Sweetly roast-toned, floral. Gardenia, dark chocolate, raisin, gently scorched oak, cashew in aroma and cup. Sweet-toned structure with gentle, round acidity;
Ethiopia Guji Hambela G1 Kudume Wolicho Honey;GK Coffee;Light;Taiwan;Ethiopia;10,4;93;January 2022;Fruit-forward, richly sweet-tart. Blackberry jam, brown sugar, cocoa nib, fresh-cut oak, jasmine in aroma and cup. Sweet-toned structure with lively acidity;
Kenya AB;Dory Coffee Roasters;Light;Taiwan;Kenya;10,43;94;September 2022;Complex, multi-layered. Almond brittle, black cherry, dark chocolate, narcissus, mustard seed in aroma and small cup. Sweetly savory with juicy acidity;
Kenya ARES;Coffee Please;Medium-Light;Taiwan;Kenya;10,57;95;October 2020;Berry-driven, sweetly herb-toned. Black currant, cocoa nib, thyme, lavender, oak in aroma and cup. Sweet-toned structure with bright acidity;
Colombia La Riviera Sudan Rume;RamsHead Coffee Roasters;Medium-Light;United States;Colombia;10,57;94;November 2021;Delicate, complex, rich-toned. Cocoa nib, persimmon, caramel, cardamom, fresh-cut cedar in aroma and cup. Sweet-savory structure with balanced, bright acidity;
